AC606064J,SCREW,0.3,10,4H,,0.0000,0.2505
AC606128J,SCREW-SELFT,1.7999999999999998,10,4H,,0.0000,1.503
AC608044J,SCREW-SELFT,0.95,5,2H,,0.0000,0.79325
AC608061,SCREW,1.7999999999999998,5,4H,,0.0000,1.503
AC608074J,SCREW,0.65,5,4H,,0.0000,0.5427500000000001
ACU1612J,NUT-PUSHIN,1.7000000000000002,5,4H,,0.0000,1.4195000000000002
ACU2415,NUT,0.4700,1,4H,,0.0000,0.39244999999999997
ACU3010,NUT-LOKUT,2.9,10,4H,,0.0000,2.4215
AD604031J,SCREW,0.3,10,4H,,0.0000,0.2505
AD604033J,WOODSCREW-CO,0.7000000000000001,5,2K,,0.0000,0.5670000000000001
AD604042,SCREW,2.2,10,2J,,0.0000,1.782
AD606031,SCREW-SELFT,4.1,10,2H,,0.0000,3.4234999999999998
AD606032J,SCREW,1.5,10,4H,,0.0000,1.2525
AD606043J,SCREW-SELFT,0.8999999999999999,5,4H,,0.0000,0.7515
AD606051J,SCREW-SELFT,1.0,10,4H,,0.0000,0.835
AD606052J,SETSCREW,1.0,10,4K,,0.0000,0.81
AD606063J,SCREW,1.5,10,4H,,0.0000,1.2525
AD608033J,SCREW,0.75,5,4H,,0.0000,0.62625
AD608053J,SCREW-SELFT,0.8500000000000001,5,4H,,0.0000,0.7097500000000001
AD608083,SCREW-SELFT,1.1,5,2J,,0.0000,0.891
AD610052J,SCREW-SELFT,1.7999999999999998,10,4K,,0.0000,1.4579999999999997
ADL1655,FIX-PUSHON,2.05,5,2H,,0.0000,1.7117499999999999
ADU2038J,RIVET-POP,2.2,10,2J,,0.0000,1.782
ADU3476J,CLIP-LINKAGE,1.5,10,4H,,0.0000,1.2525
ADU4185J,FASTENER,15.5,10,2J,,0.0000,12.555
ADU5842,NUT,4.1,10,2H,,0.0000,3.4234999999999998
ADU8951J,P-CLIP,0.2,5,4H,,0.0000,0.167
ADU9028,STRAP-TIE,2.6,10,2J,,0.0000,2.106
AE604033,WOODSCREW-RO,0.4100,1,2H,,0.0000,0.34235
AEU1049,GASKET,1.4800,1,4J,,0.0000,1.1987999999999999
AEU1065,SEAL-OIL,39.5900,1,4M,,0.0000,30.880200000000002
AEU1068,BRIDGEPIPE,5.3700,1,4H,,0.0000,4.48395
AEU1197,O-RING,1.2300,1,YJ,,0.0000,0.9963
AEU1248J,SEAL,10.8700,1,2O,,0.0000,8.696
AEU1264,GASKET,9.65,5,YH,,0.0000,8.05775
AEU1313,BULBHOLDER,4.4400,1,4K,,0.0000,3.5964000000000005
AEU1338,SWITCH-HAZAR,28.7900,1,4F,,0.0000,25.910999999999998
AEU1341,LAMP-CLUSTER,28.6000,1,4H,,0.0000,23.881
AEU1342,LAMP-CLUSTER,28.6000,1,4H,,0.0000,23.881
AEU1343,LAMP-CLUSTER,55.0000,1,4F,,0.0000,49.5
AEU1344,LAMP-CLUSTER,55.0000,1,4F,,0.0000,49.5
AEU1360,GASKET,8.2,5,YJ,,0.0000,6.6419999999999995
AEU1364,SEAT-HEADLAM,9.3500,1,4K,,0.0000,7.573499999999999
AEU1365,SEAT-HEADLAM,8.5200,1,4K,,0.0000,6.901199999999999
AEU1385,SHIELD-DUST,3.6900,1,4H,,0.0000,3.08115
AEU1390W,TORQCNVRTR,0.0100,1,YZ,,0.0000,0.01
AEU1391B,KEY,7.5800,1,4G,,0.0000,6.5567
AEU1392B,BLANK-KEY,3.7900,1,4G,,0.0000,3.27835
AEU1434,PIPE-AIR,4.6600,1,4K,,0.0000,3.7746
AEU1440,PIPE,10.8300,1,4K,,0.0000,8.7723
AEU1466,SPRING-MAIN,0.2900,1,4K,,0.0000,0.2349
AEU1468,WASHER-STARL,1.2,10,4H,,0.0000,1.002
AEU1470,SEALANDRET,24.3500,1,2O,,0.0000,19.48
AEU1500,PUBASEPLTE,69.9200,1,4H,,0.0000,58.3832
AEU1564,BOX-WHEEL,55.0000,1,4K,,0.0000,44.55
AEU1568,COVER-FUSEBO,2.1100,1,4I,,0.0000,1.76185
AEU1576,SEALANDRET,47.4800,1,4F,,0.0000,42.732
AEU1587,RING,2.6500000000000004,5,4H,,0.0000,2.21275
AEU1590,LENS,21.2000,1,4J,,0.0000,17.172
AEU1675,THERMOSTAT,13.1100,1,4J,,0.0000,10.6191
AEU1683,TRIGGERKIT,142.8300,1,4F,,0.0000,128.54700000000003
AEU1693,NUT,0.4400,1,4H,,0.0000,0.3674
AEU1694J,KEY,1.5500,1,4K,,0.0000,1.2555
AEU1695,HOUSING-CLUT,35.0000,1,4J,,0.0000,28.35
AEU1721,PLATE-PICKU,105.0000,1,4I,,0.0000,87.675
AEU1722,COVER-DUST,6.4900,1,4J,,0.0000,5.2569
AEU1723,GEAR-DRIVE,7.8300,1,ZH,,0.0000,6.53805
AEU1738W,MOTOR-WINDSC,0.0100,1,2A,,0.0000,0.01
AEU1743J,RECTIFIER-AL,5.8700,1,4K,,0.0000,4.7547
AEU1858,RING-RETAINI,2.5100,1,4K,,0.0000,2.0330999999999997
AEU1899,HEADLAMP,64.0000,1,4J,,0.0000,51.84
AEU1929E,ALTERNATOR,135.8300,1,GJ,,0.0000,110.02230000000002
AEU1929W,ALTERNATOR,0.0100,1,YZ,,0.0000,0.01
AEU1930W,ALTERNATOR,0.0100,1,YZ,,0.0000,0.01
AEU2527,SWITCH-WSCRE,90.3000,1,4H,,0.0000,75.4005
AEU2787,KIT-SEAL,7.6500,1,4J,,0.0000,6.1965
AEU2802,SWITCH-DIREC,110.2500,1,4H,,0.0000,92.05875
AEU2803,SWITCH-DIREC,72.1000,1,4J,,0.0000,58.400999999999996
AEU2804,SWITCH-WSCRE,78.7500,1,4F,,0.0000,70.875
AEU2868J,KIT-SEAL,55.8200,1,YP,,0.0000,40.1904
AEU2997,NUT-SELFLOC,1.4200,1,4H,,0.0000,1.1857
AEU3011A,OILPANKIT,9.0900,1,4K,,0.0000,7.3629
AEU3023W,CONVERTER,0.0100,1,2A,,0.0000,0.01
AEU3024W,CONVERTER-TO,0.0100,1,2A,,0.0000,0.01
AEU3034,MOTOR-REGULA,115.0000,1,4J,,0.0000,93.15
AEU4006,SEAL-OIL,27.9800,1,4J,,0.0000,22.663800000000002
AEU4090J,BELLOWS,77.7000,1,4J,,0.0000,62.937000000000005
AEU4124J,REGULATOR-AL,17.8200,1,4K,,0.0000,14.4342
AEU4174,SEALANDRET,17.3000,1,4J,,0.0000,14.013
AFU1082J,NUT-LOCKING,0.5,5,4H,,0.0000,0.4175
AFU3814,CONNECTOR,1.9400,1,2J,,0.0000,1.5714
AFU3817,CONNECTOR,1.9400,1,2J,,0.0000,1.5714
AFU4137J,STUD,5.1,10,4H,,0.0000,4.2585
AGU1001,CLIP-RETAINI,4.95,5,2H,,0.0000,4.13325
AGU1026,FASTENER-SPI,2.5,10,4H,,0.0000,2.0875
AGU1058J,STRAP-TIE,2.2,10,2J,,0.0000,1.782
AGU1068,RELAY,21.0900,1,4H,,0.0000,17.61015
AGU1070,RELAY,28.8800,1,4J,,0.0000,23.3928
AGU1079,WASHER-RUBBE,0.0300,1,4H,,0.0000,0.02505
